Model,MAE,RMSE,R2
Linear Regression,1.063929371465408,1.6323575324337178,0.8843271760112679
Random Forest,0.6134885245901645,0.8980927061570312,0.9649858891949534
Gradient Boosting,0.4857469295041883,0.8482669214838464,0.9687632510714074
